95.19,1.81,-155.88,1.37,1.33,1.25,0.22,4.10,1.46,0.53,8.10,-7.48,0.49,3.86,-8.99,29,8.91
95.81,2.88,-156.69,1.45,1.52,1.39,-0.35,4.58,1.11,0.14,8.44,-7.87,0.70,3.72,-9.04,29,9.01
96.44,4.13,-157.56,1.52,1.75,1.56,-1.62,3.43,1.05,-0.67,7.01,-8.02,0.94,3.57,-9.08,29,13.0
97.19,5.50,-158.50,1.47,2.35,2.06,-1.51,1.69,-0.41,-0.29,5.12,-9.52,1.22,3.42,-9.10,29,23.86
99.00,9.00,-160.19,1.33,2.65,2.34,-1.48,1.52,-0.92,0.05,4.80,-10.03,1.53,3.27,-9.11,29,0.0
100.19,10.94,-161.00,1.13,2.81,2.65,-1.38,1.38,-1.15,0.48,4.52,-10.25,1.86,3.13,-9.10,29,10.22
101.50,12.94,-161.69,0.93,2.81,2.96,-1.42,1.45,-1.05,2.81,2.59,-7.94,2.52,2.85,-9.03,29,11.63
103.00,14.88,-162.44,0.68,2.33,3.18,7.08,-4.76,2.51,9.90,-2.05,-6.47,2.81,2.71,-8.99,29,11.52
105.81,17.94,-163.81,0.54,1.68,2.59,1.58,-4.26,1.36,4.61,-1.67,-7.59,3.02,2.59,-8.96,29,8.81
106.81,18.75,-164.25,0.24,0.90,1.87,4.44,-10.19,4.02,7.60,-7.67,-4.91,3.15,2.51,-8.93,29,12.5
107.19,18.94,-164.38,-0.02,0.13,0.76,-2.22,-6.52,0.53,0.95,-4.03,-8.39,3.15,2.49,-8.94,29,8.68
107.44,18.69,-164.38,-0.21,-0.47,0.34,-2.63,0.01,0.13,0.10,5.15,-9.77,3.09,2.50,-8.96,29,12.15
107.75,18.38,-164.31,-0.24,-0.74,0.44,0.11,3.53,0.27,3.15,6.03,-8.70,3.03,2.50,-8.98,29,10.63
108.13,18.00,-164.38,-0.15,-0.84,0.53,0.40,2.78,0.96,3.38,5.27,-8.04,2.97,2.48,-9.00,29,10.57
108.50,17.63,-164.50,0.16,-0.79,0.53,0.49,1.62,-0.60,3.41,4.09,-9.63,2.91,2.46,-9.03,29,10.32
109.19,17.00,-165.00,0.23,-0.68,0.57,-0.13,0.01,-2.36,2.73,2.44,-11.42,2.87,2.42,-9.05,29,13.24
109.63,16.81,-165.19,0.15,-0.59,0.68,-0.37,-1.37,-2.05,3.42,0.81,-10.32,2.80,2.37,-9.09,29,11.22
110.06,16.63,-165.31,-0.01,-0.54,0.75,0.61,-1.55,-1.23,3.50,1.04,-8.89,2.78,2.36,-9.10,29,8.66
110.63,16.44,-165.44,-0.11,-0.48,0.72,0.72,-1.31,0.20,2.85,2.12,-9.16,2.75,2.35,-9.11,29,10.45
111.00,16.31,-165.50,-0.06,-0.36,0.63,0.05,-0.29,0.02,2.79,2.04,-9.09,2.73,2.34,-9.12,29,11.32
111.75,16.13,-165.63,-0.03,-0.22,0.62,0.38,-0.01,0.39,3.11,2.31,-8.72,2.73,2.32,-9.12,29,13.62
112.13,16.19,-165.75,-0.01,-0.09,0.58,0.41,0.05,-0.04,3.15,2.37,-9.17,2.73,2.31,-9.12,29,8.74
112.44,16.25,-165.88,0.04,0.02,0.51,0.47,-0.16,0.12,3.22,2.13,-8.99,2.76,2.27,-9.12,29,11.33
