51.13,-42.69,147.81,1.96,-0.83,0.27,-0.21,-2.42,-1.31,-6.86,-6.26,-7.41,-6.65,-3.83,-6.10,29,7.01
52.44,-43.06,146.56,1.88,-0.80,0.08,-0.14,-2.43,-1.27,-6.84,-6.37,-7.25,-6.74,-4.05,-5.85,29,11.55
53.81,-43.38,145.31,1.81,-0.76,-0.12,-0.19,-2.30,-1.37,-6.93,-6.35,-7.09,-6.76,-4.16,-5.74,29,13.62
55.25,-43.63,144.00,1.74,-0.71,-0.31,-0.39,-2.05,-1.50,-7.17,-6.34,-7.13,-6.78,-4.29,-5.63,29,10.34
56.69,-43.75,142.63,1.62,-0.57,-0.67,-0.57,-2.03,-1.64,-7.35,-6.45,-7.17,-6.78,-4.42,-5.52,29,13.48
59.69,-43.69,139.94,1.56,-0.47,-0.83,-0.92,-2.08,-1.84,-7.70,-6.64,-7.27,-6.77,-4.56,-5.42,29,10.36
61.31,-43.44,138.56,1.49,-0.36,-0.99,-1.07,-2.00,-1.89,-8.00,-6.80,-7.09,-6.70,-4.85,-5.25,29,11.85
62.94,-43.13,137.25,1.41,-0.24,-1.16,-1.46,-1.87,-1.94,-8.11,-6.88,-7.12,-6.64,-5.00,-5.18,29,11.92
64.69,-42.63,136.00,1.31,-0.11,-1.37,-1.46,-1.87,-1.94,-7.91,-6.91,-6.73,-6.56,-5.17,-5.12,29,11.02
66.56,-42.00,134.69,1.08,0.15,-1.99,-1.54,-1.45,-1.52,-7.99,-6.80,-6.60,-6.45,-5.35,-5.08,29,10.71
70.75,-40.13,132.25,0.95,0.23,-2.38,-1.84,-1.40,-1.56,-8.16,-6.95,-6.61,-6.15,-5.75,-5.01,29,11.75
73.06,-38.81,131.06,0.83,0.28,-2.78,-1.89,-1.16,-1.57,-8.26,-6.86,-6.70,-5.95,-5.97,-4.99,29,14.72
75.56,-37.38,129.88,0.71,0.30,-3.18,-2.30,-0.88,-1.70,-7.99,-6.99,-6.45,-5.71,-6.21,-4.98,29,8.32
78.25,-35.63,128.69,0.49,0.32,-3.85,-2.10,-0.21,-1.36,-7.56,-6.66,-6.33,-5.46,-6.44,-4.97,29,11.01
83.69,-31.88,126.63,0.36,0.36,-4.15,-1.96,0.29,-1.34,-7.14,-6.38,-6.30,-5.18,-6.67,-4.96,29,9.95
86.75,-29.63,125.75,0.08,0.47,-4.68,-2.05,0.57,-1.39,-6.90,-6.33,-6.38,-4.49,-7.12,-5.01,29,11.78
89.81,-27.25,125.13,-0.09,0.52,-4.86,-1.96,0.94,-1.40,-6.46,-6.18,-6.42,-4.12,-7.32,-5.05,29,10.99
92.88,-24.81,124.63,-0.24,0.56,-4.96,-1.52,1.49,-1.28,-5.29,-5.72,-6.21,-3.73,-7.49,-5.10,29,10.66
96.00,-22.38,124.25,-0.48,0.65,-4.98,-1.37,2.06,-0.88,-4.71,-5.57,-6.04,-3.33,-7.63,-5.16,29,13.77
102.31,-17.38,123.94,-0.56,0.71,-4.93,-1.34,2.43,-0.72,-4.27,-5.32,-5.94,-2.93,-7.76,-5.22,29,10.63
105.56,-14.94,123.94,-0.62,0.77,-4.86,-0.85,2.78,-0.34,-3.38,-5.07,-5.64,-2.52,-7.85,-5.29,29,9.98
108.88,-12.44,124.06,-0.67,0.85,-4.78,-0.88,2.90,-0.39,-2.45,-4.94,-5.93,-1.71,-7.98,-5.43,29,11.0
112.19,-10.00,124.25,-0.76,0.97,-4.59,-0.53,3.35,-0.40,-1.83,-4.65,-5.91,-1.30,-8.00,-5.50,29,9.91
119.00,-5.25,124.81,-0.79,1.03,-4.48,-0.69,3.48,-0.30,-1.60,-4.52,-5.88,-0.90,-8.01,-5.58,29,11.13
122.50,-2.94,125.25,-0.82,1.11,-4.32,-0.51,3.54,0.02,-1.02,-4.45,-5.62,-0.50,-7.99,-5.65,29,10.29
126.06,-0.69,125.69,-0.83,1.19,-4.15,-0.52,3.79,0.29,-0.64,-4.16,-5.42,-0.12,-7.96,-5.72,29,11.0
129.63,1.44,126.13,-0.83,1.25,-3.93,-0.92,3.74,0.17,-0.32,-4.11,-5.66,0.60,-7.85,-5.84,29,10.55
133.06,3.50,126.63,-0.74,1.28,-3.33,-1.16,3.72,0.28,-0.23,-4.06,-5.60,0.92,-7.78,-5.88,29,10.06
139.50,7.13,127.44,-0.65,1.24,-2.96,-1.48,3.55,0.32,-0.26,-4.16,-5.59,1.21,-7.72,-5.92,29,10.01
142.31,8.63,127.81,-0.52,1.17,-2.53,-1.66,3.42,0.39,-0.19,-4.22,-5.54,1.47,-7.65,-5.94,29,11.99
144.75,9.88,128.00,-0.34,1.08,-2.08,-1.79,3.29,0.45,0.09,-4.42,-5.44,1.86,-7.57,-5.94,29,11.46
146.75,10.94,128.13,-0.13,0.98,-1.63,-1.80,2.98,0.63,0.19,-4.56,-5.28,2.00,-7.55,-5.92,29,9.78
148.31,11.75,128.06,0.37,0.72,-0.73,-1.90,2.88,0.50,0.19,-4.67,-5.37,2.09,-7.56,-5.88,29,9.44
149.38,12.31,127.88,0.63,0.57,-0.31,-1.77,2.84,0.36,0.37,-4.75,-5.45,2.15,-7.59,-5.82,29,95.88
150.13,12.75,126.94,0.87,0.43,0.08,-1.59,2.77,0.59,0.57,-4.86,-5.15,2.17,-7.64,-5.75,29,0.0
149.88,12.69,126.25,1.08,0.30,0.43,-1.61,2.76,0.23,0.53,-4.94,-5.43,2.11,-7.79,-5.56,29,0.0
149.31,12.44,125.50,1.25,0.20,0.71,-1.46,2.79,0.08,0.82,-5.01,-5.33,2.05,-7.88,-5.46,29,0.0
148.56,12.06,124.69,1.34,0.10,0.89,-1.22,2.86,0.12,1.11,-5.00,-5.02,1.97,-7.97,-5.35,29,0.0
147.69,11.63,123.88,1.36,0.03,0.98,-1.07,2.96,-0.05,0.82,-5.09,-5.30,1.89,-8.05,-5.25,29,0.0
146.81,11.13,123.06,1.22,-0.05,0.97,-0.75,2.79,-0.24,1.06,-5.33,-5.40,1.81,-8.13,-5.16,29,0.0
145.19,10.25,121.75,1.06,-0.08,0.84,-0.22,2.99,0.04,1.52,-5.20,-5.02,1.69,-8.25,-5.01,29,0.0
144.50,9.88,121.19,0.87,-0.10,0.66,-0.11,3.02,0.06,1.57,-5.22,-4.94,1.64,-8.29,-4.95,29,16.11
144.06,9.63,120.81,0.66,-0.09,0.47,0.00,3.15,-0.07,2.13,-5.24,-5.15,1.62,-8.32,-4.92,29,0.0
143.75,9.50,120.56,0.44,-0.08,0.28,0.80,2.97,-0.39,2.41,-5.35,-5.30,1.60,-8.33,-4.90,29,11.39
143.44,9.38,120.44,0.06,-0.04,0.08,1.18,3.18,-0.63,2.78,-5.15,-5.53,1.59,-8.34,-4.90,29,13.84
143.44,9.31,120.44,-0.09,-0.03,0.06,1.57,3.22,-0.78,3.16,-5.11,-5.69,1.59,-8.33,-4.91,29,9.21
143.38,9.25,120.56,-0.22,-0.01,0.13,2.15,3.58,-0.62,3.73,-4.74,-5.55,1.58,-8.32,-4.92,29,13.41
143.31,9.13,120.75,-0.30,0.04,0.31,2.15,3.53,-0.51,3.78,-4.74,-5.62,1.51,-8.31,-4.97,29,10.1
