orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp
140.38,66.50,45.81,0.30,-0.06,0.10,0.27,-0.06,0.29,9.26,-2.88,3.01,8.99,-2.81,2.71,27
139.00,66.44,47.00,0.44,-0.38,0.25,1.40,-0.15,-0.77,10.39,-3.02,1.86,8.99,-2.87,2.64,27
137.88,66.81,48.06,0.54,-0.45,0.12,1.01,0.50,-0.60,10.34,-3.11,0.83,9.02,-2.86,2.54,27
137.00,67.75,48.69,0.41,-0.48,-0.30,1.82,0.33,-0.08,10.57,-1.85,2.51,9.09,-2.73,2.42,27
138.19,69.06,46.00,0.34,0.08,-0.78,-2.19,0.77,-0.32,7.28,-1.91,1.85,9.16,-2.45,2.46,27
139.13,69.00,43.19,-0.10,0.37,0.09,-0.93,1.28,-2.20,8.21,-1.11,0.35,9.14,-2.43,2.58,27
139.31,67.94,44.19,-0.49,0.30,0.27,0.15,2.42,0.20,9.24,-0.13,2.84,9.09,-2.56,2.63,27
140.56,67.88,43.88,-0.42,0.08,-0.63,0.37,0.11,-2.17,9.47,-2.39,0.47,9.10,-2.51,2.65,27
142.69,68.69,41.56,0.09,0.17,-0.42,-0.84,0.71,-0.94,8.29,-1.60,1.73,9.14,-2.32,2.67,27
143.75,69.19,39.38,0.09,-0.10,-0.36,-1.71,0.39,0.02,7.46,-1.79,2.69,9.17,-2.18,2.67,27
143.75,69.63,39.63,0.07,-0.21,0.16,-1.10,0.74,-0.75,8.01,-2.57,2.23,9.19,-2.20,2.60,27
142.94,69.44,41.94,0.04,-0.19,0.40,-1.23,-0.53,0.12,8.54,-3.23,3.14,9.17,-2.33,2.54,27
142.00,68.94,43.50,0.16,0.05,0.40,-0.71,-1.26,-0.27,8.57,-3.46,1.98,9.14,-2.45,2.56,27
141.19,68.44,44.31,0.14,-0.03,0.22,0.30,-0.73,-0.57,9.57,-3.20,2.22,9.11,-2.52,2.57,27
141.06,68.25,44.25,0.18,0.08,0.02,0.38,-0.59,-0.70,9.49,-3.12,1.89,9.11,-2.53,2.59,27
140.94,68.19,43.50,0.13,0.08,-0.07,-0.02,-0.74,-0.69,9.08,-3.24,1.94,9.10,-2.50,2.63,27
141.31,68.13,42.44,0.21,0.22,-0.21,0.00,-0.06,-0.70,9.11,-2.50,2.01,9.10,-2.44,2.71,27
141.63,68.00,40.50,0.10,0.15,-0.08,0.00,0.01,-0.43,9.09,-2.35,2.36,9.09,-2.37,2.80,27
142.00,67.94,39.63,0.07,0.07,-0.10,0.43,0.30,-0.44,9.48,-2.01,2.29,9.09,-2.33,2.83,27
142.38,68.19,38.44,0.06,0.01,-0.28,-0.01,0.45,-0.35,9.09,-1.80,2.49,9.11,-2.23,2.84,27
143.06,68.56,36.69,0.09,0.08,-0.35,-0.32,0.96,-0.36,8.80,-1.18,2.50,9.13,-2.10,2.87,27
143.88,68.88,34.13,0.17,0.14,-0.41,-0.63,1.33,-0.84,8.12,0.20,2.08,9.15,-1.94,2.94,27
144.56,69.13,31.69,0.19,0.06,-0.25,-1.31,1.62,-0.92,7.30,-0.45,2.06,9.16,-1.82,2.97,27
144.75,69.13,32.63,-0.19,-0.21,0.32,-1.29,0.00,0.97,7.87,-1.87,3.90,9.16,-1.87,2.93,27
143.94,68.81,36.31,-0.30,-0.17,0.56,0.29,-0.82,0.04,9.43,-2.92,2.90,9.14,-2.10,2.85,27
143.56,68.69,38.63,-0.14,-0.16,0.17,1.78,0.03,-0.24,10.92,-2.20,2.52,9.13,-2.24,2.76,27
143.75,68.81,39.13,-0.04,-0.01,-0.24,0.53,-0.34,0.36,9.68,-2.55,3.10,9.15,-2.21,2.74,27
144.38,69.19,38.19,-0.04,-0.07,-0.23,-0.24,-0.13,0.04,8.93,-2.26,2.76,9.17,-2.13,2.72,27
144.63,69.63,38.00,0.02,-0.17,-0.05,-0.53,0.13,-0.30,9.44,-1.74,2.17,9.20,-2.10,2.66,27
144.38,70.00,39.75,-0.05,-0.33,0.18,0.36,0.28,-0.67,9.70,-1.86,1.77,9.22,-2.16,2.54,27
144.06,70.44,41.50,0.05,-0.35,-0.02,0.48,0.15,-0.63,9.36,-2.11,1.96,9.25,-2.16,2.42,27
143.81,71.13,42.25,0.23,-0.35,-0.04,-0.26,0.09,-0.46,9.01,-2.04,1.88,9.28,-2.12,2.31,27
143.13,71.69,43.25,0.36,-0.33,-0.02,0.01,0.66,-0.42,9.32,-1.43,1.81,9.31,-2.10,2.23,27
142.69,72.00,43.44,0.28,-0.17,0.06,-0.49,1.14,-0.62,8.83,-0.93,1.56,9.33,-2.07,2.18,27
142.06,72.00,43.94,0.11,-0.02,0.09,0.29,1.08,-1.29,9.61,-1.02,0.87,9.32,-2.10,2.17,27
